         52189 function calls (51126 primitive calls) in 5.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      137    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:388(is_datetime64tz_dtype)
      101    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:231(is_sparse)
        3    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\tools\datetimes.py:87(should_cache)
       48    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\generic.py:188(__init__)
       27    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_int64}
       18    0.000    0.000    0.052    0.003 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:742(take)
        6    0.000    0.000    0.001    0.000 {pandas._libs.lib.clean_index_list}
      194    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:463(is_period_dtype)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       93    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimes.py:290(_simple_new)
      170    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\dtypes.py:923(is_dtype)
      158    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:1769(pandas_dtype)
      421    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:190(classes_and_not_datetimelike)
       35    0.000    0.000    0.074    0.002 <__array_function__ internals>:2(concatenate)
      135    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\_mixins.py:103(shape)
       12    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      288    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\base.py:199(construct_from_string)
       51    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:288(make_block_same_class)
       36    0.000    0.000    0.005    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimes.py:309(_from_sequence_not_strict)
       36    0.000    0.000    0.012    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:2721(make_block)
       30    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\generic.py:5411(__finalize__)
       27    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\_asarray.py:293(require)
       42    0.000    0.000    0.003    0.000 {method 'any' of 'numpy.ndarray' objects}
      227    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:201(is_object_dtype)
        6    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\common.py:210(_get_filepath_or_buffer)
       18    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
       26    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\cast.py:1257(maybe_castable)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       10    0.000    0.000    0.007    0.001 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.084    0.028 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:1733(_form_blocks)
      360    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\codecs.py:331(getstate)
        9    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimes.py:484(_box_func)
        9    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\groupby\ops.py:397(_get_cython_function)
       26    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\cast.py:1379(maybe_cast_to_datetime)
       29    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\_collections_abc.py:72(_check_methods)
       72    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:563(_reset_identity)
      177    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\inference.py:322(is_hashable)
      131    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\dtypes.py:1132(is_dtype)
      161    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:499(is_interval_dtype)
       36    0.000    0.000    0.006    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\datetimes.py:282(__new__)
      548    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:185(classes)
       57    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\generic.py:5467(__setattr__)
       36    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
    24/18    0.000    0.000    0.046    0.003 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\algorithms.py:1570(take)
       12    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\cast.py:342(maybe_cast_result_dtype)
      113    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
       12    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:1577(from_array)
       39    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimes.py:2116(maybe_convert_dtype)
      192    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFBE2317B30}
       45    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\missing.py:133(_isna)
       18    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimelike.py:274(__getitem__)
